"Story","Title","Result","Date","Stability","Duration (s)"
"I as a user require to make a reservation from the Stays tab.","Validate that you can select a room if the accommodation is available.","SUCCESS","2022-04-20T11:29:49.0691376-05:00[America/Bogota]","0.0","0.11"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not continue, if he does not fill in the fields","SUCCESS","2022-04-20T11:29:49.2019966-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not continue, if he just fill the name field","SUCCESS","2022-04-20T11:29:49.2181645-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not continue, if he just fill the lastname field","SUCCESS","2022-04-20T11:29:49.2302387-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not continue, if he not fill the email field","SUCCESS","2022-04-20T11:29:49.2422925-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not continue, if he fill the email field with a incorrect domain","SUCCESS","2022-04-20T11:29:49.2533419-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can  continue, if he fill the fields correctly","SUCCESS","2022-04-20T11:29:49.2644314-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not   continue, if he dont fill the mobile number field","SUCCESS","2022-04-20T11:29:49.2745359-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not enter alphanumeric values into mobile number field","SUCCESS","2022-04-20T11:29:49.2856105-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can  enter the number into mobile number field","SUCCESS","2022-04-20T11:29:49.2956892-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not enter alphanumeric values into number card field","SUCCESS","2022-04-20T11:29:49.306774-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can select the card SCOTIBANK","FAILURE","2022-04-20T11:29:49.3168646-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not continue, if he select the bottom completa la reserva with empty fields in the payment section","SUCCESS","2022-04-20T11:29:49.3279759-05:00[America/Bogota]","0.0","0.01"
"I as a user require to make a reservation from the Stays tab.","validate that the user can not  type more than 3 characters into CVC code","SUCCESS","2022-04-20T11:29:49.340063-05:00[America/Bogota]","0.0","0.01"
